atrium, rotunda, courtyard, foyer, atria, ventricle, staircase, second-floor, light-filled, colonnade, entryway
crevasse, icefall, bergschrund, snowbank, snowfield, couloir, chasm, rockfall, glacier, ravine, gully
industrial, manufacturing, machinery, agricultural, factories, petrochemical, commercial, engineering, aerospace, construction, automotive
interior, exterior, upholstery, trim, roof, walls, decor, doors, design, furnishings, paint
computer, laptop, software, desktop, puter, workstation, PC, hardware, PCs, systems, internet
lock, latch, keys, lever, bolt, padlock, screw, hook, pull, snap, switch
biology, biochemistry, physiology, genetics, microbiology, ecology, science, neuroscience, immunology, chemistry, zoology
cubicles, desks, cubical, washroom, urinals, hallways, lockers, cupboards, cramped, bookcases, windowless
car, vehicle, automobile, truck, auto, driving, dealership, rental, motorcycle, motorbike, SUV
sand, gravel, sandy, dunes, mud, rocks, pebbles, beach, dirt, clay, ocean
artists, musicians, performers, painters, art, songwriters, illustrators, sculptors, composers, artworks, singers
window, pane, door, curtain, screen, roof, wall, popup, doorway, shutters, sliding
locker, lockerroom, restroom, dorm, locker-room, room, gym, hallway, closet, clubhouse, washroom
catacomb, necropolis, baptistery, sarcophagus, sarcophagi, baptistry, cave-like, basilica, charnel, antechamber, labyrinths
stadium, ballpark, arena, bleachers, football, Coliseum, grandstand, venue, scoreboard, park, baseball
science, scientific, biology, physics, mathematics, research, astronomy, psychology, scientists, humanities, economics
subway, metro, train, tram, bus, streetcar, commuter, street, station, transit, sidewalk
mall, shopping, plaza, downtown, store, grocery, supermarket, midtown, park, street, mart
volleyball, softball, basketball, tennis, soccer, Volleyball, lacrosse, gymnastics, varsity, badminton, athletics
alcove, curtained, hallway, entryway, staircase, doorway, anteroom, cupboard, living-room, stairwell, tiled
elevator, stairs, stairwell, escalator, staircase, hallway, stairway, floor, upstairs, room, downstairs
road, highway, route, lane, trail, hill, driving, ride, roadway, north, crossing
igloo, eskimo, penguin, snowman, artic, yurt, doghouse, puffle, arctic, thermos, teepee
court, judge, prosecution, ruling, jury, appellate, judicial, defendant, appeals, custody, prosecutors
boathouse, Boathouse, wharf, boatshed, boatyard, pier, slipway, rowboat, jetty, seawall, waterfront
football, soccer, basketball, baseball, rugby, league, sports, hockey, athletics, coach, volleyball
zen, buddhism, buddha, buddhist, meditation, feng, zen-like, shui, tai, yogi, koan
archive, files, repository, searchable, gallery, database, directory, upload, library, links, contents
pier, wharf, jetty, quay, docks, marina, harbour, shore, boardwalk, harbor, breakwater
slum, shantytown, squatter, favelas, shanty, inner-city, Kibera, impoverished, poverty-stricken, squalid, ghettos
iceberg, iceburg, lettuce, romaine, glacier, cucumbers, sinking, berg, spinach, frozen, icy
wet, damp, dry, moist, soaking, hot, pussy, dripping, dirty, slippery, thick
bedroom, bathroom, apartment, bed, townhouse, room, upstairs, spacious, bath, house, loft
courthouse, Courthouse, courtroom, sheriff, jail, county, court, capitol, arraignment, clerk, fairgrounds
socializing, socialising, mingling, chatting, conversing, schmoozing, partying, gatherings, sociable, lounging, goofing
barndoor, barn-door, counterweighted, Vdub, snoot, louver, g-damn, shadbush, fundrasier, louvred, lightboard
alley, alleyway, sidewalk, street, lane, corner, courtyard, hallway, driveway, downtown, tavern
showroom, dealership, shop, dealer, furniture, warehouse, booth, interiors, storefront, furnishings, retailer
farm, farmer, livestock, agricultural, cattle, pasture, barn, dairy, farmland, orchard, homestead
gas, fuel, propane, gasoline, gases, combustion, petroleum, coal, heating, methane, electricity
reception, banquet, venue, room, ceremony, guests, evening, dinner, welcoming, wedding, complimentary
bookstore, bookshop, bookseller, B&N, library, store, shop, books, storefront, mall, brick-and-mortar
butchers, fishmongers, greengrocers, grocers, butchery, bakers, delicatessen, barbers, delis, shoemakers, bakeries
florist, bouquets, flowers, zipcodes, caterer, wedding, officiant, roses, bridal, funeral, bakeries
hayfield, cornfield, mown, pastureland, meadow, cowshed, untilled, hayloft, pasture, meadowland, wheatfield
corridor, freeway, hallway, highway, underpass, roadway, lanes, thoroughfare, expressway, entrance, overpass
candy, chocolate, sweets, cupcakes, popcorn, cake, lollipops, cookie, fudge, peanut, strawberry
utility, tool, backup, functionality, allows, storage, existing, software, efficient, usage, maintenance
department, dept., dept, office, supervisor, assistant, staff, administrative, departmental, personnel, university
art, painting, sculpture, artist, artworks, illustration, photography, exhibition, collage, museum, drawing
lab, laboratory, tests, experiments, technician, chemistry, research, biology, science, veterinary, classroom
bedchamber, bed-chamber, anteroom, drawing-room, ante-room, dining-room, sitting-room, antechamber, guardroom, up-stairs, ante-chamber
hall, auditorium, room, hallway, entrance, foyer, ballroom, courtyard, floor, upstairs, lobby
topiary, boxwood, espalier, bonsai, shrubbery, potted, ornamental, parterre, flowerbeds, hydrangea, evergreens
theater, theatre, cinema, theatrical, productions, entertainment, musicals, auditorium, concerts, movie, theather
driveway, sidewalk, porch, garage, walkway, pavement, parking, gravel, roadway, patio, fence
engine, diesel, horsepower, motor, powerplant, turbo, cylinder, fuel, exhaust, powered, turbocharged
boat, sailboat, sail, yacht, canoe, pontoon, fishing, dinghy, kayak, shore, barge
pharmacy, prescription, viagra, cialis, perscription, levitra, generic, drugstore, pharmacist, medication, rx
schoolhouse, one-room, school-house, schoolroom, schoolhouses, meetinghouse, parsonage, clapboard, firehouse, homestead, farmhouse
glossy, matte, gloss, shiny, high-gloss, translucent, eye-catching, textured, lustrous, slick, sleek
auditorium, hall, gymnasium, amphitheater, cafeteria, theater, theatre, foyer, rotunda, classrooms, chapel
working, doing, job, done, trying, helping, needed, busy, involved, time, well
racecourse, Racecourse, racetrack, Aintree, horseracing, Sandown, paddock, racegoers, grandstand, Randwick, Ascot
playroom, livingroom, mudroom, gameroom, cubby, downstairs, upstairs, playground, playpen, entryway, playtime
rock, punk, band, pop, blues, rockers, indie, music, metal, funk, jazz
rice, corn, potato, beans, noodles, vegetables, wheat, chicken, flour, soup, cooked
jacuzzi, sauna, whirlpool, tub, solarium, pool, hot-tub, spa, bathtub, jaccuzi, sundeck
path, route, direction, step, way, passing, pathway, toward, exit, journey, trail
bowling, bowlers, cricket, tennis, volleyball, badminton, billiards, softball, balls, croquet, golf
snowfield, couloir, bergschrund, icefall, headwall, snowline, treeline, crevasse, icefield, creekbed, rock-strewn
bow, tie, sash, skirt, satin, arrow, ribbon, recurve, sword, feather, lace
spring, summer, winter, fall, autumn, springtime, season, bloom, end, weekend, spring/summer
bank, financial, credit, lender, loan, lending, cash, mortgage, banker, finance, debt
parlor, parlour, tavern, saloon, salon, barber, barbershop, diner, hall, cafe, brothel
construction, building, concrete, renovation, industrial, structural, design, engineering, projects, demolition, contractor
swimming, pool, diving, tennis, beach, jacuzzi, indoor, swiming, volleyball, sunbathing, sauna
pit, lap, bull, dirt, gravel, dog, pole, quarry, backyard, cage, paddock
market, marketplace, consumer, investment, commodity, industry, sales, demand, retail, buyers, stocks
plaza, mall, courtyard, downtown, park, midtown, parkway, boulevard, walkway, hall, esplanade
vegetable, veggie, veg, tomato, potato, rice, salad, broccoli, carrot, garlic, onion
wild, exotic, birds, animals, deer, untamed, forest, wolves, crazy, tame, wildlife
rink, skating, ice-skating, hockey, playground, ice, sledding, gymnasium, park, skaters, volleyball
army, troops, soldiers, military, forces, infantry, battalion, cavalry, armed, war, commander
kennel, dog, breeder, puppy, pet, cattery, terrier, labrador, retriever, pup, breed
courtyard, terrace, landscaped, overlooking, gardens, patio, balcony, veranda, porch, walkway, gazebo
lot, much, some, alot, few, plenty, there, quite, enough, many, too
embassy, consulate, diplomats, consular, ambassador, passport, visa, hostages, foreign, envoy, legation
vault, crypt, cellar, cavern, storeroom, basement, locked, tomb, doorway, depository, stairway
orchard, grove, farm, vineyard, meadow, garden, fruit, pasture, trees, woodland, apples
wind, turbines, gusts, storm, rain, breeze, windy, blowing, solar, sun, weather
oast, uard, byre, ourt, urning, houso, sldo, bouse, 17thC, aisled, orth
archaelogical, archeological, archeaological, paleontological, archaeological, palaeontological, archelogical, archealogical, ethnological, epigraphic, archæological
deck, patio, porch, balcony, veranda, roof, railing, floor, cockpit, gazebo, tub
door, doorway, window, front, garage, stairs, roof, sliding, hallway, floor, entrance
boardwalk, promenade, pier, walkway, shoreline, seawall, waterfront, esplanade, beach, stroll, seashore
ballroom, dance, hall, dancers, ballet, cabaret, tango, banquet, auditorium, nightclub, venue
gallery, pics, thumbnail, pictures, photo, nude, tgp, porn, naked, xxx, images
hangar, airfield, aircraft, airplane, airstrip, fuselage, cockpit, flightline, helipad, taxied, aeroplane
train, railway, bus, rail, subway, railroad, station, buses, tram, commuter, taxi
roof, doors, walls, porch, exterior, ceiling, attic, siding, floor, rooftop, brick
baseball, softball, Baseball, basketball, football, league, hockey, soccer, mlb, sports, lacrosse
runway, catwalk, takeoff, taxiway, taxiing, landing, take-off, tarmac, airfield, ramp, fashion
rainforest, forests, jungle, tropical, rain-forest, flora, fauna, mangrove, habitats, lowland, biodiversity
museum, exhibition, musuem, art, historic, sculpture, curator, heritage, monument, Smithsonian, zoo
station, radio, railway, bus, train, subway, metro, airport, staion, broadcasting, tram
skating, rink, skaters, skateboarding, ice-skating, skiing, snowboarding, rollerblading, hockey, gymnastics, sledding
childs, childrens, babys, toddler, child?s, kids, preschool, pre-school, infant, elses, someones
church, congregation, parish, pastor, chapel, catholic, Baptist, ministry, Episcopal, worship, clergy
fabric, woven, cotton, polyester, silk, cloth, wool, sewn, quilted, knit, yarn
medina, souks, riad, Essaouira, Chefchaouen, Marrakech, Fes, Fna, kasbah, Fez, bazaars
viaduct, underpass, footbridge, overpass, trestle, aqueduct, overbridge, bridge, tramway, seawall, culvert
house, houses, home, apartment, bedroom, residence, garage, basement, mansion, room, kitchen
youth, young, youngsters, teenagers, children, community, education, adults, teens, kids, school
dining, dinning, lounge, restaurant, buffet, patio, bistro, kitchen, room, gourmet, cuisine
slope, steep, steeper, ridge, steeply, elevation, hillside, downhill, curve, terrain, hill
excavation, archaeological, trenching, archeological, backfilling, demolition, archaeologists, earthworks, digging, quarry, dredging
japanese, asian, korean, chinese, jap, Japanese, thai, anime, tokyo, japenese, russian
crosswalk, pedestrian, cross-walk, roadway, sidewalk, stoplight, mid-block, bicyclist, overpass, intersections, signalized
picnic, barbeque, cookout, lunch, barbecue, camping, gazebo, playground, dinner, potluck, picnicking
auto, automobile, car, automotive, insurance, dealership, vehicle, ford, bmw, automatic, dealers
bamboo, wood, wooden, rattan, hardwood, teak, birch, willow, pine, cedar, woven
cream, creme, butter, chocolate, creamy, milk, ice-cream, pudding, lotion, cheese, almond
burial, cemetery, interment, cremation, funeral, graves, buried, tomb, gravesite, casket, mausoleum
martial, karate, kickboxing, boxing, arts, judo, taekwondo, aikido, kung-fu, kung, jujitsu
campsite, campground, camping, trailhead, picnic, caravan, tent, lodge, hut, hostel, campfire
park, hill, campground, zoo, playground, lake, recreation, plaza, gardens, walk, trails
bazaar, souk, bazar, souq, barter, emporium, bazzar, accoutrement, bustling, marketplace, abounding
entrance, enterance, courtyard, hallway, hall, doorway, foyer, parking, gate, staircase, walkway
server, DNS, client, configuration, webserver, setup, proxy, FTP, database, linux, backend
dorm, dormitory, frat, roommates, room, hallway, upstairs, sorority, hostel, bathroom, locker
laboratory, lab, clinical, experiments, testing, research, scientific, microbiology, biomedical, studies, biological
hardware, peripherals, computer, components, console, functionality, software, systems, devices, electronics, storage
village, town, hamlet, countryside, outskirts, picturesque, rural, situated, township, cottages, neighbouring
dam, hydroelectric, river, dike, spillway, hydro-electric, reservoir, hydropower, weir, levee, lake
greenhouse, emissions, Greenhouse, GHG, dioxide, gases, CO2, climate, warming, methane, greenhouse-gas
hole, drilled, bottom, gaping, screw, butt, shaft, ass, inside, tight, cock
mountain, hills, alpine, hiking, valley, slopes, trail, foothills, climbing, ski, canyon
bullring, bullfight, Maestranza, bull-ring, matadors, bull-fighting, toros, hippodrome, Ventas, Pamplona, Ayuntamiento
recreation, parks, leisure, boating, playgrounds, biking, activities, outdoor, sports, amusement, facilities
amphitheater, amphitheatre, ampitheater, ampitheatre, auditorium, coliseum, open-air, bandshell, pavilion, pavillion, bandstand
wheat, barley, corn, grain, oats, flour, maize, rye, sorghum, rice, cereals
mausoleum, tomb, columbarium, sarcophagus, gravesite, monument, cenotaph, burial, shrine, cemetery, stupa
delicatessen, deli, patisserie, bakery, greengrocers, charcuterie, pizzeria, boulangerie, fishmonger, brasserie, grocer
urban, rural, suburban, metropolitan, inner-city, city, neighborhoods, metropolis, communities, neighbourhoods, sprawl
movie, film, flick, starring, soundtrack, trailer, cinema, remake, comedy, scene, horror
bakery, deli, pastries, patisserie, baker, breads, delicatessen, pizzeria, grocery, pizza, supermarket
hostel, guesthouse, hotel, hostal, backpackers, accommodation, accomodation, motel, dormitory, lodgings, appartment
shed, barn, roof, garage, fence, lay, porch, carport, shelter, basement, weigh
carrousel, carousel, carosel, merry-go-round, carousal, funfair, fairground, wheel-like, factice, tresor, hobbyhorse
broadleaf, broad-leaved, broad-leaf, broadleaved, crabgrass, conifer, herbicide, forbs, grasses, understory, shrub
glacier, glacial, fjord, icebergs, alpine, mountains, moraine, crevasses, lakes, canyon, crater
aquarium, aquaria, saltwater, reef, goldfish, terrarium, pond, fishtank, fish, freshwater, aquatic
residential, residences, homes, multi-family, single-family, condominium, multifamily, buildings, apartments, commercial, non-residential
cloth, fabric, linen, cotton, towel, woven, muslin, sewn, wool, silk, garment
cultivated, planted, grown, nurtured, harvested, crops, fertile, organically, sown, irrigated, varieties
junkyard, scrapyard, junker, junked, salvage, wrecker, broken-down, rusted, jalopy, scavenged, rusted-out
highway, freeway, roads, roadway, expressway, interstate, motorway, hwy, lane, overpass, two-lane
shopfront, shop-front, store-front, storefront, street-front, frontages, streetfront, shopfitting, curtainwall, fitout, hoardings
yard, lawn, backyard, garden, driveway, porch, fence, landscaping, barn, yd, patio
diner, eatery, restaurant, bistro, cafe, dining, resturant, waitress, tavern, pizzeria, café
doorway, hallway, stairs, door, staircase, stairwell, entryway, arched, stairway, peered, entrance
garden, lawn, patio, backyard, landscaping, courtyard, outdoor, pond, terrace, shrubs, planting
cemetery, cemetary, burial, graves, graveyard, gravesite, churchyard, memorial, headstone, gravestone, interment
water, salt, pond, seawater, dry, sewage, liquid, ocean, boiling, heat, sand
canal, waterway, towpath, river, aqueduct, drainage, bridge, tunnel, navigable, estuary, viaduct
physics, science, mathematics, astrophysics, quantum, biology, relativity, chemistry, theory, physicists, mechanics
clean, cleaner, wash, tidy, spotless, dirty, safe, neat, nice, dry, keep
basement, attic, upstairs, garage, downstairs, cellar, floor, closet, house, hallway, room
lobby, foyer, room, lounge, hall, dining, courtyard, café, upstairs, elevator, inviting
fire, flames, blaze, burning, smoke, firefighters, lightning, explosion, blast, sparks, storm
center, centre, central, located, middle, facility, area, city, front, corner, downtown
ticket, tix, fares, airfare, reservation, booking, airline, discounted, flight, tour, admission
escape, flee, trapped, danger, survive, evade, forced, darkness, hiding, attempting, fear
floe, bergs, icebergs, pack-ice, ice-covered, sea-ice, walruses, ice-bound, icecap, beached, sandbar
repair, maintenance, damaged, replacement, restoration, parts, salvage, plumbing, servicing, fix, remodeling
